         6689378 function calls (6531656 primitive calls) in 3.420 seconds

   Ordered by: cumulative time
   List reduced from 208 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.009    0.000    3.420    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\profiling\run_all_profiles.py:87(<lambda>)
    10000    0.053    0.000    3.412    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:409(_check_bouquet_component_baseline)
     2321    0.043    0.000    1.488    0.001 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:198(_extract_petals)
46252/43647    0.034    0.000    1.043    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\utils\backends.py:627(__call__)
    16252    0.049    0.000    0.795    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\graph.py:1566(copy)
    18573    0.122    0.000    0.564    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\graph.py:968(add_edges_from)
    24322    0.015    0.000    0.477    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\graph.py:1925(number_of_edges)
    23926    0.039    0.000    0.462    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\graph.py:1882(size)
    24210    0.030    0.000    0.448    0.000 <class 'networkx.utils.decorators.argmap'> compilation 17:1(argmap_is_connected_13)
71346/59741    0.073    0.000    0.427    0.000 {built-in method builtins.sum}
    24210    0.039    0.000    0.388    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\algorithms\components\connected.py:111(is_connected)
     7395    0.012    0.000    0.363    0.000 <class 'networkx.utils.decorators.argmap'> compilation 27:1(argmap_cycle_basis_22)
    59472    0.058    0.000    0.334    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\graph.py:1648(<genexpr>)
   126115    0.093    0.000    0.333    0.000 <frozen _collections_abc>:859(__iter__)
     7395    0.161    0.000    0.333    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\algorithms\cycles.py:25(cycle_basis)
    18573    0.143    0.000    0.299    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\graph.py:566(add_nodes_from)
