         1566250 function calls (1517840 primitive calls) in 0.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.007    0.000    0.645    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\profiling\run_all_profiles.py:88(<lambda>)
    10000    0.025    0.000    0.638    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:496(_check_bouquet_component_optimized)
    10000    0.014    0.000    0.295    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:362(_check_bouquet_adj)
    10000    0.100    0.000    0.252    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:506(<dictcomp>)
     2321    0.060    0.000    0.183    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:304(_petal_signatures_adj)
     5590    0.042    0.000    0.095    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:258(_find_c5_nodes_adj)
     2321    0.016    0.000    0.074    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:359(<listcomp>)
   110828    0.053    0.000    0.071    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\coreviews.py:80(__getitem__)
25223/11605    0.024    0.000    0.058    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:348(_sig)
    10000    0.017    0.000    0.058    0.000 {built-in method builtins.sum}
25223/11605    0.015    0.000    0.046    0.000 {built-in method builtins.sorted}
   110828    0.029    0.000    0.042    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\coreviews.py:49(__iter__)
   120828    0.031    0.000    0.041    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:508(<genexpr>)
38841/17667    0.016    0.000    0.040    0.000 C:\Users\yaryn\OneDrive\Desktop\Thesis\Is_1_WL_Expressivity_Sufficient_for_Molecular_Graphs\wl_identifiability\bouquet.py:350(<genexpr>)
   110828    0.028    0.000    0.039    0.000 C:\Users\yaryn\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\networkx\classes\coreviews.py:46(__len__)
   352143    0.033    0.000    0.033    0.000 {built-in method builtins.len}
