molecule_id,dataset_name,smiles,n_nodes,n_edges,top_bouquet_forest_verdict,atom_bouquet_forest_verdict,top_bouquet_forest_reason,atom_bouquet_forest_reason,top_has_bouquet_component,atom_has_bouquet_component
142416422,BDAD.smi,Fc1nc(F)c(Br)nc1F,10,10,0,1,cycle_not_5,ok,0,0
2055498429,BDAD.smi,Cn1cc(Br)c(F)cc1=O,10,10,0,1,cycle_not_5,ok,0,0
2382359198,BEAD.smi,Nc1nc(F)c(Br)cc1Cl,10,10,0,1,cycle_not_5,ok,0,0
2382418331,BEAD.smi,Nc1cc(F)c(Cl)nc1Br,10,10,0,1,cycle_not_5,ok,0,0
162504988,BCAD.smi,NS(=O)(=O)NCC(C1CC1)C1CC1,13,14,0,0,cycle_not_5,cycle_not_5,0,0
306499062,BCAD.smi,CN(C)S(=O)(=O)N1C2CCC1CC2,13,14,0,0,cycle_not_5,cycle_not_5,0,0
1664448255,CBAD.smi,O=S(=O)(CCNS(=O)(=O)C1CC1)C1CC1,15,16,0,1,cycle_not_5,ok,0,0
20257509,CBAD.smi,O=S(=O)(N1CCNCC1)N1CCSCC1,15,16,0,1,cycle_not_5,ok,0,0
2386346828,BDED.smi,N#Cc1cc(Br)c(CN)nc1Cl,12,12,0,1,cycle_not_5,ok,0,0
2386349395,BDED.smi,COc1cc(N)c(C#N)nc1Br,12,12,0,1,cycle_not_5,ok,0,0
16382521,ADAD.smi,Cn1ccc(=S)cc1,8,8,0,1,cycle_not_5,ok,0,0
2332240013,ADAD.smi,Cc1cnc([S])nc1,8,8,0,1,cycle_not_5,ok,0,0
