molecule_id,dataset_name,smiles,top_v,atom_v,top_reason,atom_reason,top_cat,atom_cat
243,nci1_smiles.smi,OC1C[CH]([SnH])C2[CH]([SnH])S[CH]([SnH])C12,0,1,cycle_not_5,ok,not_c5_cycle,none
252,nci1_smiles.smi,[SnH][CH]1C[CH]([SnH])C2[CH]([SnH])S[CH]([SnH])C12,0,1,cycle_not_5,ok,not_c5_cycle,none
352,nci1_smiles.smi,CC1SC(C)C2C(O)CC(N)C12.Cl,0,1,cycle_not_5,ok,not_c5_cycle,none
1480,nci1_smiles.smi,C1CCN(CCC2CCCCN2)CC1,0,1,cycle_not_5,ok,not_c5_cycle,none
1526,nci1_smiles.smi,C1CCC(CCC2CCCNC2)NC1,0,1,cycle_not_5,ok,not_c5_cycle,none
1561,nci1_smiles.smi,C1CCC(NNCC2CCCNC2)NC1,0,1,cycle_not_5,ok,not_c5_cycle,none
1886,nci1_smiles.smi,CC(O)O.CC1C(C)C(C)[CH]([Co])C(C)C1C,0,1,cycle_not_5,ok,not_c5_cycle,none
1401,nci1_smiles.smi,CC1CCCCC1C(O)C1CCCCC1O,0,1,cycle_not_5,ok,not_c5_cycle,none
176,nci1_smiles.smi,COC1CCCC(C2CCCC(SC)N2)N1,0,1,cycle_not_5,ok,not_c5_cycle,none
1357,nci1_smiles.smi,C1CCN(C2NSC(N3CCCCC3)N2)CC1,0,1,cycle_not_5,ok,not_c5_cycle,none
1443,nci1_smiles.smi,CC1CCC2SC3CCC(N)CC3C(O)C2C1,0,1,cycle_not_5,ok,not_c5_cycle,none
1486,nci1_smiles.smi,C1CCC2C(C1)C1CCCCC1N1CCNC21,0,1,cycle_not_5,ok,not_c5_cycle,none
1522,nci1_smiles.smi,NCC(O)CN.OC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0,1,cycle_not_5,ok,not_c5_cycle,none
124,nci1_smiles.smi,C1CCC2CNCCC2C1.CC(O)O.CC(O)O.N.[NaH],0,1,cycle_not_5,ok,not_c5_cycle,none
3785,nci1_smiles.smi,SC(NCCC1CCCCN1)NNCC1CCCCN1,0,1,cycle_not_5,ok,not_c5_cycle,none
998,nci1_smiles.smi,CC1CCC(NC(O)C(O)CC2CCN(O)CC2)CC1,0,1,cycle_not_5,ok,not_c5_cycle,none
1478,nci1_smiles.smi,CC(O)OCCN1C2CCCCC2SC2CNCCC21,0,1,cycle_not_5,ok,not_c5_cycle,none
2916,nci1_smiles.smi,COC1CCC2C(C1)N(O)C1CC(CN)CCC1N2O,0,1,cycle_not_5,ok,not_c5_cycle,none
857,nci1_smiles.smi,C1CSC(C2CC(C3CCSC3)C(C3CCSC3)S2)C1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1515,nci1_smiles.smi,C1CCC2C(C1)C1CCCCC1C1CN3CCCC3CC21,0,1,cycle_not_5,ok,not_c5_cycle,none
1747,nci1_smiles.smi,CCN(CC)C(S)NNC(C1CCCCC1)C1CCCCN1,0,1,cycle_not_5,ok,not_c5_cycle,none
2154,nci1_smiles.smi,ClC1CCC(NNC(C2CCCCC2)C2CCCCN2)NC1,0,1,cycle_not_5,ok,not_c5_cycle,none
2166,nci1_smiles.smi,ClC1CC(NNC(C2CCCCC2)C2CCCCN2)NCN1,0,1,cycle_not_5,ok,not_c5_cycle,none
3857,nci1_smiles.smi,CCCCP(CCCC)CCCC.OC1CC(Cl)C(Cl)CC1Cl,0,1,cycle_not_5,ok,not_c5_cycle,none
3587,nci1_smiles.smi,OC(CCNC(O)OCC1CCCCC1)OCC1CCCCC1,0,1,cycle_not_5,ok,not_c5_cycle,none
1484,nci1_smiles.smi,CC(C(O)C1CCCCC1)C(C1CCCCC1)N1CCOCC1,0,1,cycle_not_5,ok,not_c5_cycle,none
1746,nci1_smiles.smi,SC(NNC(C1CCCCC1)C1CCCCN1)N1CCCCC1,0,1,cycle_not_5,ok,not_c5_cycle,none
940,nci1_smiles.smi,OC(CCCN1CCNC1N(O)O)NCCN1CNCC1N(O)O,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1745,nci1_smiles.smi,SC(NNC(C1CCCCC1)C1CCCCN1)N1CCCCCC1,0,1,cycle_not_5,ok,not_c5_cycle,none
2156,nci1_smiles.smi,ON(O)C1CCC(NNC(C2CCCCC2)C2CCCCN2)NC1,0,1,cycle_not_5,ok,not_c5_cycle,none
