n_nodes,n_edges,count
16,17,15469
18,19,8862
14,15,7438
17,18,6410
15,16,5763
13,14,2358
12,13,2301
20,21,1962
17,19,1931
18,20,1179
10,10,754
10,11,676
21,22,612
15,17,611
12,12,584
16,16,575
16,18,549
14,14,534
19,20,449
20,22,414
8,8,386
21,23,369
11,12,349
18,21,295
20,23,193
13,15,189
8,9,174
12,14,174
18,18,164
14,16,160
19,21,124
21,24,114
17,20,94
9,10,78
20,20,77
19,22,70
11,13,65
16,19,60
6,6,48
22,24,46
17,17,45
10,12,36
22,25,36
7,8,26
7,7,24
21,21,21
14,17,14
21,25,12
9,11,11
8,10,10
