dataset_name,nan_case,top0_atom0,top0_atom1,top1_atom1
AAAA.smi,0,71,23,3636
AAAB.smi,0,104,45,3958
AAAC.smi,0,30,7,975
AAAD.smi,0,14,97,16434
AABA.smi,0,0,0,21
AABB.smi,0,1,0,64
AABD.smi,0,0,0,74
AACA.smi,0,5,0,8
AACB.smi,0,5,1,35
AAEA.smi,0,2,1,267
AAEB.smi,0,8,0,582
AAED.smi,0,0,1,2169
ABAA.smi,0,87,224,16406
ABAB.smi,0,108,204,16181
ABAC.smi,0,22,38,2157
ABAD.smi,0,52,586,83662
ABBA.smi,0,0,1,205
ABBB.smi,0,2,3,288
ABBD.smi,0,0,0,509
ABCA.smi,0,2,0,53
ABCB.smi,0,3,1,116
ABCD.smi,0,2,0,31
ABEA.smi,0,15,6,1516
ABEB.smi,0,16,12,2430
ABEC.smi,0,6,0,402
ABED.smi,0,6,27,19478
ACAA.smi,0,320,737,42945
ACAB.smi,1,217,667,42721
ACAC.smi,0,37,69,4418
ACAD.smi,0,345,1794,199435
ACBA.smi,0,2,10,1043
ACBB.smi,0,3,4,1059
ACBC.smi,0,1,2,114
ACBD.smi,0,1,1,1332
ACCA.smi,0,3,3,386
ACCB.smi,0,6,4,540
ACCD.smi,0,0,1,391
ACEA.smi,0,30,54,5427
ACEB.smi,0,26,31,7860
ACEC.smi,0,13,7,1172
ACED.smi,0,48,140,64673
ADAA.smi,0,343,1001,54243
ADAB.smi,0,217,845,56147
ADAC.smi,0,63,125,5113
ADAD.smi,0,870,2206,245383
ADBA.smi,0,7,18,2023
ADBB.smi,0,8,11,1475
ADBC.smi,0,0,0,123
ADBD.smi,0,7,3,1133
ADCA.smi,0,2,9,577
ADCB.smi,0,2,6,804
ADCC.smi,0,3,2,142
ADCD.smi,0,0,4,586
ADEA.smi,0,62,83,9307
ADEB.smi,0,52,74,12337
ADEC.smi,0,14,4,1979
ADED.smi,0,119,191,88595
AEAA.smi,0,151,444,18577
AEAB.smi,0,98,307,20083
AEAC.smi,0,20,37,1816
AEAD.smi,0,425,764,88386
AEBA.smi,0,3,6,598
AEBB.smi,0,5,4,431
AEBC.smi,0,0,1,31
AEBD.smi,0,0,0,237
AECA.smi,0,2,2,174
AECB.smi,0,1,4,338
AECD.smi,0,0,6,255
AEEA.smi,0,22,38,3588
AEEB.smi,0,37,44,5493
AEEC.smi,0,4,4,822
AEED.smi,0,67,65,29800
AFAA.smi,0,154,235,9865
AFAB.smi,0,85,201,11797
AFAC.smi,0,17,26,1361
AFAD.smi,0,264,327,45343
AFBA.smi,0,7,6,220
AFBB.smi,0,6,2,222
AFBC.smi,0,0,1,18
AFBD.smi,0,0,0,60
AFCA.smi,0,5,2,81
AFCB.smi,0,4,2,244
AFCD.smi,0,2,0,134
AFEA.smi,0,14,17,2032
AFEB.smi,0,13,29,3503
AFEC.smi,0,0,0,601
AFED.smi,0,35,20,16384
BAAA.smi,0,47,4,1313
BAAB.smi,0,105,9,3369
BAAC.smi,0,22,0,433
